Location,TFR_1953,NRR_2048,Births_2033,LExMale_2048,IMR_1953,CDR_1978,CDR_2008,CDR_2028,GrowthRate_1988,GrowthRate_1993,GrowthRate_2008,SRB_2008,MAC_1963,MAC_2008,MAC_2038,target
Tonga,7.3,1.296,14.044,74.62,58.923,6.11,6.194,5.813,0.254,0.193,0.603,1.05,32.028,31.074,31.072,3
Trinidad and Tobago,5.3,0.814,73.335,70.84,82.578,7.485,8.876,11.369,0.852,0.535,0.475,1.038,27.25,27.717,29.229,1
Tunisia,6.65,0.897,802.616,79.5,232.308,10.295,6.041,6.645,2.345,2.034,1.037,1.05,30.644,31.097,30.881,1
Turkey,6.686,0.843,5757.377,80.16,216.895,12.139,5.913,6.22,1.86,1.625,1.262,1.05,28.222,27.603,29.987,1
Turkmenistan,5.3,0.989,602.196,67.75,149.996,10.48,7.291,7.356,2.544,2.659,1.352,1.046,30.921,27.704,28.416,1
Uganda,6.9,1.561,11801.755,68.22,160.428,16.559,11.147,6.804,3.49,3.283,3.448,1.03,29.059,28.417,27.844,3
Ukraine,2.81,0.842,1801.829,72.7,78.747,10.652,16.274,14.912,0.212,-0.218,-0.475,1.063,27.223,26.411,30.394,1
United Arab Emirates,6.97,0.79,493.135,81.54,180.744,4.395,1.52,2.37,5.812,5.499,11.822,1.045,28.777,27.605,27.234,2
United Kingdom,2.18,0.901,3827.635,85.03,28.199,11.928,9.383,9.198,0.252,0.276,0.978,1.051,25.87,29.281,30.537,2
United Republic of Tanzania,6.74,1.624,14634.272,71.55,153.223,15.904,9.565,5.404,3.07,3.256,3.135,1.03,29.453,28.647,27.759,3
United States Virgin Islands,5.251,0.892,5.749,83.45,58.088,5.124,7.213,10.878,-0.292,0.689,-0.307,1.06,27.031,27.449,27.902,2
United States of America,3.311,0.926,21806.316,82.76,30.133,8.852,8.152,8.762,0.949,1.014,0.895,1.048,26.5,28.031,30.537,2
Uruguay,2.73,0.875,220.652,79.93,57.398,10.091,9.221,9.435,0.641,0.725,0.291,1.05,27.788,27.619,28.542,2
Uzbekistan,5.3,0.859,2711.515,72.11,125.002,9.34,6.218,6.483,2.444,2.219,1.52,1.067,30.935,27.022,27.771,1
Vanuatu,7.6,1.181,39.247,75.35,169.709,11.006,5.049,4.909,2.404,2.749,2.42,1.07,29.056,29.316,29.301,3
Venezuela (Bolivarian Republic of),6.458,0.888,2800.235,76.68,108.008,5.835,5.215,6.298,2.523,2.216,1.609,1.05,28.718,26.656,26.81,2
Viet Nam,5.399,0.913,6506.475,78.77,103.584,7.846,5.64,6.263,2.218,1.951,0.964,1.103,31.81,27.183,30.537,3
Western Sahara,6.342,0.88,60.025,73.58,216.747,17.307,5.584,5.308,3.496,3.253,1.865,1.03,29.221,30.732,31.145,2
Yemen,7.35,1.018,4405.212,67.93,251.037,19.039,7.474,5.877,4.048,4.791,2.741,1.05,31.281,30.151,29.623,3
Zambia,6.7,1.67,4372.986,69.15,148.287,15.025,11.892,6.243,2.867,2.59,2.781,1.03,29.824,29.299,28.529,3
Zimbabwe,6.8,1.135,2810.571,68.82,114.513,11.344,14.162,6.912,3.243,2.117,1.698,1.02,29.548,28.084,27.622,3
