Location,TFR_1953,NRR_2048,Births_2033,LExMale_2048,IMR_1953,CDR_1978,CDR_2008,CDR_2028,GrowthRate_1988,GrowthRate_1993,GrowthRate_2008,SRB_2008,MAC_1963,MAC_2008,MAC_2038,target
Croatia,2.73,0.785,159.216,80.62,95.53,11.021,11.865,13.382,0.254,-0.68,-0.229,1.059,26.543,28.665,31.428,1
Cuba,4.15,0.851,521.205,83.76,80.615,5.821,6.979,9.355,0.966,0.603,0.086,1.057,27.509,26.323,29.201,2
Curaçao,5.07,0.903,9.692,81.47,66.312,5.975,8.198,9.982,-0.498,-0.384,2.633,1.05,27.53,28.275,29.259,2
Cyprus,3.705,0.759,59.721,84.04,64.936,7.891,6.795,7.779,1.713,2.192,1.588,1.07,28.918,29.456,30.31,1
Czechia,2.738,0.864,451.797,81.71,42.24,12.59,10.288,11.598,0.019,0.033,0.535,1.058,25.466,29.151,31.756,2
Côte d'Ivoire,7.451,1.552,5617.168,61.95,267.796,16.564,15.108,9.602,3.648,3.4,2.134,1.03,29.148,28.986,28.578,1
Dem. People's Republic of Korea,3.462,0.849,1609.878,74.22,122.195,6.645,8.963,9.791,1.446,1.49,0.567,1.05,31.304,28.732,29.763,1
Democratic Republic of the Congo,5.98,1.568,22155.046,67.92,166.596,19.093,12.457,7.516,2.939,3.674,3.284,1.03,28.906,29.873,28.837,3
Denmark,2.55,0.89,340.648,84.26,27.73,10.479,10.103,10.247,0.105,0.353,0.485,1.055,26.847,30.411,31.256,2
Djibouti,6.312,0.864,102.333,65.43,154.286,12.11,9.406,8.494,6.546,1.311,1.663,1.039,32.036,32.076,32.159,2
Dominican Republic,7.599,0.878,959.05,76.69,153.18,8.299,5.988,6.558,2.034,1.882,1.381,1.05,29.06,25.724,26.626,1
Ecuador,6.75,0.919,1579.06,80.55,138.166,9.537,5.187,5.393,2.437,2.26,1.674,1.05,29.671,27.536,27.617,1
Egypt,6.75,1.13,12469.798,73.91,248.697,13.003,6.288,5.814,2.683,2.083,1.824,1.066,28.415,27.762,27.346,1
El Salvador,6.362,0.825,483.321,76.28,150.298,11.968,6.592,7.044,1.302,1.311,0.445,1.05,29.317,26.821,27.539,1
Equatorial Guinea,5.666,1.284,269.575,68.05,196.38,23.522,12.052,7.601,3.468,3.358,4.557,1.03,28.807,28.739,27.489,1
Eritrea,6.965,1.283,912.051,71.7,199.413,18.345,8.975,5.234,2.459,-0.149,2.02,1.052,30.89,29.773,29.253,3
Estonia,2.06,0.874,55.785,79.6,84.891,12.096,12.788,12.62,0.555,-1.765,-0.351,1.064,27.557,28.544,31.333,2
