Location,TFR_1953,TFR_1958,TFR_1963,TFR_1968,TFR_1973,TFR_1978,TFR_1983,TFR_1988,TFR_1993,TFR_1998,TFR_2003,TFR_2008,TFR_2013,TFR_2018,TFR_2023,TFR_2028,TFR_2033,TFR_2038,TFR_2043,TFR_2048,NRR_1953,NRR_1958,NRR_1963,NRR_1968,NRR_1973,NRR_1978,NRR_1983,NRR_1988,NRR_1993,NRR_1998,NRR_2003,NRR_2008,NRR_2013,NRR_2018,NRR_2023,NRR_2028,NRR_2033,NRR_2038,NRR_2043,NRR_2048,CBR_1953,CBR_1958,CBR_1963,CBR_1968,CBR_1973,CBR_1978,CBR_1983,CBR_1988,CBR_1993,CBR_1998,CBR_2003,CBR_2008,CBR_2013,CBR_2018,CBR_2023,CBR_2028,CBR_2033,CBR_2038,CBR_2043,CBR_2048,Births_1953,Births_1958,Births_1963,Births_1968,Births_1973,Births_1978,Births_1983,Births_1988,Births_1993,Births_1998,Births_2003,Births_2008,Births_2013,Births_2018,Births_2023,Births_2028,Births_2033,Births_2038,Births_2043,Births_2048,LEx_1953,LEx_1958,LEx_1963,LEx_1968,LEx_1973,LEx_1978,LEx_1983,LEx_1988,LEx_1993,LEx_1998,LEx_2003,LEx_2008,LEx_2013,LEx_2018,LEx_2023,LEx_2028,LEx_2033,LEx_2038,LEx_2043,LEx_2048,LExMale_1953,LExMale_1958,LExMale_1963,LExMale_1968,LExMale_1973,LExMale_1978,LExMale_1983,LExMale_1988,LExMale_1993,LExMale_1998,LExMale_2003,LExMale_2008,LExMale_2013,LExMale_2018,LExMale_2023,LExMale_2028,LExMale_2033,LExMale_2038,LExMale_2043,LExMale_2048,LExFemale_1953,LExFemale_1958,LExFemale_1963,LExFemale_1968,LExFemale_1973,LExFemale_1978,LExFemale_1983,LExFemale_1988,LExFemale_1993,LExFemale_1998,LExFemale_2003,LExFemale_2008,LExFemale_2013,LExFemale_2018,LExFemale_2023,LExFemale_2028,LExFemale_2033,LExFemale_2038,LExFemale_2043,LExFemale_2048,IMR_1953,IMR_1958,IMR_1963,IMR_1968,IMR_1973,IMR_1978,IMR_1983,IMR_1988,IMR_1993,IMR_1998,IMR_2003,IMR_2008,IMR_2013,IMR_2018,IMR_2023,IMR_2028,IMR_2033,IMR_2038,IMR_2043,IMR_2048,Q5_1953,Q5_1958,Q5_1963,Q5_1968,Q5_1973,Q5_1978,Q5_1983,Q5_1988,Q5_1993,Q5_1998,Q5_2003,Q5_2008,Q5_2013,Q5_2018,Q5_2023,Q5_2028,Q5_2033,Q5_2038,Q5_2043,Q5_2048,CDR_1953,CDR_1958,CDR_1963,CDR_1968,CDR_1973,CDR_1978,CDR_1983,CDR_1988,CDR_1993,CDR_1998,CDR_2003,CDR_2008,CDR_2013,CDR_2018,CDR_2023,CDR_2028,CDR_2033,CDR_2038,CDR_2043,CDR_2048,Deaths_1953,Deaths_1958,Deaths_1963,Deaths_1968,Deaths_1973,Deaths_1978,Deaths_1983,Deaths_1988,Deaths_1993,Deaths_1998,Deaths_2003,Deaths_2008,Deaths_2013,Deaths_2018,Deaths_2023,Deaths_2028,Deaths_2033,Deaths_2038,Deaths_2043,Deaths_2048,DeathsMale_1953,DeathsMale_1958,DeathsMale_1963,DeathsMale_1968,DeathsMale_1973,DeathsMale_1978,DeathsMale_1983,DeathsMale_1988,DeathsMale_1993,DeathsMale_1998,DeathsMale_2003,DeathsMale_2008,DeathsMale_2013,DeathsMale_2018,DeathsMale_2023,DeathsMale_2028,DeathsMale_2033,DeathsMale_2038,DeathsMale_2043,DeathsMale_2048,DeathsFemale_1953,DeathsFemale_1958,DeathsFemale_1963,DeathsFemale_1968,DeathsFemale_1973,DeathsFemale_1978,DeathsFemale_1983,DeathsFemale_1988,DeathsFemale_1993,DeathsFemale_1998,DeathsFemale_2003,DeathsFemale_2008,DeathsFemale_2013,DeathsFemale_2018,DeathsFemale_2023,DeathsFemale_2028,DeathsFemale_2033,DeathsFemale_2038,DeathsFemale_2043,DeathsFemale_2048,CNMR_1953,CNMR_1958,CNMR_1963,CNMR_1968,CNMR_1973,CNMR_1978,CNMR_1983,CNMR_1988,CNMR_1993,CNMR_1998,CNMR_2003,CNMR_2008,CNMR_2013,CNMR_2018,CNMR_2023,CNMR_2028,CNMR_2033,CNMR_2038,CNMR_2043,CNMR_2048,NetMigrations_1953,NetMigrations_1958,NetMigrations_1963,NetMigrations_1968,NetMigrations_1973,NetMigrations_1978,NetMigrations_1983,NetMigrations_1988,NetMigrations_1993,NetMigrations_1998,NetMigrations_2003,NetMigrations_2008,NetMigrations_2013,NetMigrations_2018,NetMigrations_2023,NetMigrations_2028,NetMigrations_2033,NetMigrations_2038,NetMigrations_2043,NetMigrations_2048,GrowthRate_1953,GrowthRate_1958,GrowthRate_1963,GrowthRate_1968,GrowthRate_1973,GrowthRate_1978,GrowthRate_1983,GrowthRate_1988,GrowthRate_1993,GrowthRate_1998,GrowthRate_2003,GrowthRate_2008,GrowthRate_2013,GrowthRate_2018,GrowthRate_2023,GrowthRate_2028,GrowthRate_2033,GrowthRate_2038,GrowthRate_2043,GrowthRate_2048,NatIncr_1953,NatIncr_1958,NatIncr_1963,NatIncr_1968,NatIncr_1973,NatIncr_1978,NatIncr_1983,NatIncr_1988,NatIncr_1993,NatIncr_1998,NatIncr_2003,NatIncr_2008,NatIncr_2013,NatIncr_2018,NatIncr_2023,NatIncr_2028,NatIncr_2033,NatIncr_2038,NatIncr_2043,NatIncr_2048,SRB_1953,SRB_1958,SRB_1963,SRB_1968,SRB_1973,SRB_1978,SRB_1983,SRB_1988,SRB_1993,SRB_1998,SRB_2003,SRB_2008,SRB_2013,SRB_2018,SRB_2023,SRB_2028,SRB_2033,SRB_2038,SRB_2043,SRB_2048,MAC_1953,MAC_1958,MAC_1963,MAC_1968,MAC_1973,MAC_1978,MAC_1983,MAC_1988,MAC_1993,MAC_1998,MAC_2003,MAC_2008,MAC_2013,MAC_2018,MAC_2023,MAC_2028,MAC_2033,MAC_2038,MAC_2043,MAC_2048,target
Afghanistan,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.469,7.482,7.654,7.182,6.371,5.255,4.412,3.713,3.189,2.819,2.558,2.358,2.196,1.636,1.765,1.88,1.986,2.094,2.213,2.357,2.551,2.737,2.912,2.845,2.633,2.233,1.92,1.647,1.435,1.284,1.175,1.091,1.022,50.316,51.001,51.513,51.754,51.415,50.84,50.332,49.65,48.668,49.139,46.826,42.388,36.15,32.259,29.003,26.341,23.964,21.762,19.712,17.886,2015.476,2201.589,2438.489,2725.445,3048.468,3284.102,3149.701,2982.985,3570.874,4569.075,5287.21,5709.012,5651.992,5789.812,5832.807,5866.669,5847.718,5757.212,5594.638,5389.95,28.61,31.13,33.4,35.58,37.83,40.39,43.56,47.7,51.75,54.16,56.9,60.02,62.25,64.22,65.83,67.18,68.29,69.27,70.13,70.92,27.93,30.43,32.68,34.86,37.09,39.63,42.77,46.8,50.73,53.08,55.77,58.87,61.05,62.93,64.43,65.67,66.67,67.55,68.3,68.97,29.43,31.96,34.25,36.42,38.68,41.25,44.42,48.67,52.82,55.33,58.11,61.27,63.52,65.62,67.36,68.82,70.06,71.15,72.15,73.05,280.042,255.49,233.606,215.52,198.308,179.942,158.868,133.93,111.164,98.577,89.45,76.725,68.558,51.881,45.161,39.593,35.076,31.386,28.299,25.749,405.991,373.972,346.305,321.246,296.481,269.618,238.172,199.198,162.407,141.858,120.287,96.958,81.327,68.162,57.699,49.533,43.19,38.198,34.079,30.766,36.873,33.725,31.19,28.821,26.384,23.74,20.722,17.189,14.282,12.856,10.976,8.903,7.462,6.526,5.964,5.637,5.49,5.483,5.618,5.894,1477.014,1455.821,1476.423,1517.733,1564.313,1533.549,1296.726,1032.727,1047.923,1195.382,1239.292,1199.152,1166.668,1171.363,1199.349,1255.525,1339.713,1450.636,1594.448,1776.144,797.575,782.293,787.735,804.151,824.381,805.681,680.548,542.993,556.021,635.117,660.585,638.976,622.694,630.547,650.555,686.425,738.965,806.633,892.79,998.943,679.439,673.528,688.688,713.582,739.932,727.868,616.178,489.734,491.902,560.265,578.707,560.176,543.974,540.816,548.794,569.1,600.748,644.003,701.658,777.201,-0.499,-0.463,-0.423,-0.38,-0.337,-16.912,-53.026,-24.703,31.722,-4.081,8.229,-5.773,2.865,-1.672,-1.492,-1.347,-1.229,-1.134,-1.057,-0.996,-20,-20,-20,-20,-20,-1092.462,-3318.301,-1484.185,2327.473,-379.474,929.118,-777.497,448.007,-299.999,-300,-300,-300,-300,-300,-300,1.295,1.682,1.992,2.258,2.473,1.019,-2.344,0.776,6.672,3.227,4.426,2.776,3.162,2.409,2.157,1.937,1.726,1.515,1.304,1.1,13.443,17.276,20.323,22.933,25.031,27.1,29.61,32.461,34.386,36.283,35.85,33.485,28.688,25.733,23.039,20.704,18.474,16.279,14.094,11.992,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,29.835,29.835,29.835,29.835,29.835,29.871,29.904,29.917,29.884,29.779,29.582,29.362,29.218,29.092,29.008,28.959,28.94,28.947,28.978,29.029,LowUrbanization
Albania,6.23,6.546,6.23,5.259,4.6,3.9,3.409,3.15,2.786,2.384,1.946,1.64,1.714,1.705,1.698,1.696,1.696,1.699,1.704,1.712,2.272,2.516,2.556,2.233,2.016,1.738,1.538,1.44,1.283,1.103,0.906,0.77,0.807,0.805,0.805,0.808,0.811,0.815,0.821,0.827,39.453,41.374,39.301,33.688,30.392,27.727,26.399,25.921,23.062,18.669,14.476,11.933,12.048,11.669,11.417,10.831,9.874,9,8.657,8.712,264.644,316.098,347.044,340.816,346.607,352.999,372.76,404.909,368.313,290.705,224.418,179.589,176.621,171.105,168.085,159.228,143.887,128.892,120.908,117.983,55.26,59.3,64.85,66.24,67.69,69.7,70.61,71.98,71.69,73.03,74.82,75.64,77.66,78.52,79.39,80.24,81.1,81.94,82.77,83.58,54.4,58.5,63.7,65.1,65.99,68.28,68.45,69.3,68.91,70.15,72.25,73.16,75.64,76.55,77.48,78.41,79.38,80.34,81.34,82.32,56.1,60.1,66,67.4,69.5,71.2,73,75.01,74.86,76.1,77.75,78.54,79.87,80.64,81.4,82.11,82.8,83.48,84.14,84.78,144.825,124.869,98.923,76.958,57.981,46.846,43.192,37.834,30.739,26.301,21.147,16.756,14.593,12.757,11.07,9.726,8.558,7.541,6.684,5.938,193.979,166.018,129.62,98.972,72.805,57.682,52.51,45.656,37.095,30.842,25.635,18.684,16.398,14.345,12.487,10.991,9.697,8.566,7.608,6.769,16.063,13.078,9.838,8.524,7.53,6.51,6.169,5.772,6.251,6.156,5.833,6.704,6.847,7.667,8.363,9.034,9.734,10.564,11.506,12.381,107.748,99.913,86.874,86.24,85.881,82.884,87.107,90.156,99.827,95.861,90.43,100.888,100.368,112.42,123.126,132.809,141.848,151.283,160.694,167.67,54.715,51.335,45.464,44.895,46.021,43.825,48.455,51.724,56.788,54.823,51.954,58.738,56.304,62.534,67.196,70.741,73.819,77.084,79.916,81.389,53.033,48.578,41.41,41.345,39.86,39.059,38.652,38.432,43.039,41.038,38.476,42.15,44.064,49.886,55.93,62.068,68.029,74.199,80.778,86.281,-0.015,-0.013,-0.011,-0.01,-0.009,-0.008,-0.007,-0.006,-27.752,-11.534,-11.403,-14.443,-6.373,-2.728,-2.717,-2.721,-2.745,-2.793,-2.864,-2.954,-0.099,-0.099,-0.099,-0.099,-0.099,-0.099,-0.099,-0.099,-443.212,-179.606,-176.774,-217.358,-93.425,-40,-40,-40,-40,-40,-40,-40,2.34,2.833,2.951,2.519,2.288,2.123,2.024,2.016,-1.094,0.098,-0.276,-0.922,-0.117,0.127,0.034,-0.092,-0.261,-0.436,-0.571,-0.662,23.39,28.296,29.463,25.164,22.862,21.217,20.23,20.149,16.811,12.513,8.643,5.229,5.201,4.002,3.054,1.797,0.14,-1.564,-2.849,-3.669,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.078,1.078,1.078,1.078,1.078,1.073,1.067,1.062,1.058,1.052,1.05,31.089,30.93,30.606,29.794,29.565,29.228,28.931,28.468,27.703,27.443,27.473,27.504,27.28,27.515,28.394,28.704,28.914,29.097,29.258,29.406,HighUrbanization
Algeria,7.278,7.384,7.648,7.648,7.572,7.175,6.315,5.302,4.12,2.885,2.384,2.724,2.96,2.65,2.442,2.291,2.176,2.091,2.026,1.978,2.217,2.351,2.547,2.647,2.712,2.717,2.634,2.323,1.837,1.302,1.09,1.262,1.382,1.245,1.154,1.088,1.037,0.999,0.971,0.949,50.189,49.668,49.455,47.485,46.587,45.005,40.783,35.204,28.83,21.608,19.224,23.098,25.31,21.633,18.299,15.767,14.506,14.278,14.364,14.065,2346.562,2601.933,2936.631,3226.269,3640.706,4055.725,4272.385,4266.553,3950.963,3245.908,3098.514,4007.791,4808.212,4500.012,4100.752,3749.736,3622.673,3723.601,3901.974,3968.102,42.89,45,47.29,49.47,51.49,54.93,61.58,65.86,67.21,69.15,71.5,73.89,75.27,76.39,77.43,78.4,79.32,80.21,81.07,81.91,42.29,44.34,46.55,48.66,50.61,53.99,60.11,64.41,65.63,67.72,70.13,72.64,74.1,75.16,76.19,77.15,78.1,79.05,79.97,80.9,43.54,45.7,48.04,50.27,52.35,55.87,63.04,67.31,68.83,70.63,72.93,75.18,76.49,77.67,78.73,79.7,80.58,81.41,82.19,82.92,163.007,153.521,142.845,132.316,122.218,105.483,75.357,55.376,47.664,41.916,37.255,32.593,27.66,23.568,19.462,16.189,13.744,11.705,10.013,8.654,278.132,254.989,231.025,208.705,188.167,156.637,103.459,71.491,60.167,52.324,45.238,38.125,32.022,27.358,22.631,18.847,16.007,13.643,11.68,10.137,23.071,21.282,19.372,17.395,15.788,13.341,9.194,6.822,6.059,5.34,4.892,4.733,4.796,4.751,4.803,4.984,5.303,5.732,6.218,6.71,1078.675,1114.905,1150.304,1181.854,1233.819,1202.267,963.18,826.795,830.348,802.137,788.505,821.253,911.051,988.281,1076.367,1185.414,1324.229,1495.004,1689.205,1893.161,562.311,580.03,597.028,611.349,636.831,618.74,505.459,433.839,443.39,429.017,422.701,438.784,486.306,528.673,575.168,633.428,707.4,795.101,890.163,984.045,516.364,534.875,553.276,570.505,596.988,583.527,457.721,392.956,386.958,373.12,365.804,382.469,424.745,459.608,501.199,551.986,616.829,699.903,799.042,909.116,-6.639,-3.662,-4.787,-1.786,-3.171,-2.495,-0.773,-0.77,-0.939,-1.094,-1.273,-2.059,-0.754,-0.24,-0.223,-0.21,-0.2,-0.192,-0.184,-0.177,-310.417,-191.853,-284.266,-121.335,-247.822,-224.833,-81.02,-93.302,-128.679,-164.413,-205.228,-357.34,-143.268,-50.002,-50.002,-50.002,-50.002,-50.002,-50.002,-50.002,2.05,2.475,2.533,2.835,2.767,2.922,3.088,2.766,2.185,1.518,1.306,1.631,1.978,1.665,1.328,1.057,0.9,0.835,0.796,0.718,27.118,28.386,30.083,30.09,30.799,31.664,31.589,28.382,22.771,16.268,14.332,18.365,20.514,16.882,13.496,10.783,9.203,8.546,8.146,7.355,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,29.892,29.892,29.892,30.158,30.423,30.44,30.69,31.174,31.369,31.431,31.525,31.662,31.487,31.477,31.46,31.437,31.406,31.369,31.328,31.285,HighUrbanization
Angola,7.3,7.35,7.6,7.6,7.6,7.6,7.4,7.35,7.1,6.75,6.55,6.35,5.95,5.589,5.242,4.911,4.598,4.309,4.042,3.798,1.813,1.884,2.029,2.127,2.223,2.317,2.31,2.326,2.286,2.27,2.412,2.537,2.51,2.402,2.291,2.177,2.064,1.955,1.851,1.753,58.456,55.758,54.534,53.161,53.906,54.687,53.507,53.359,51.851,49.745,48.386,46.804,43.677,41.128,39.114,37.349,35.551,33.705,31.837,30.028,1412.317,1499.8,1615.076,1725.043,1948.565,2271.193,2613.685,3038.859,3427.399,3819.154,4353.924,5022.313,5593.779,6239.793,6968.056,7763.226,8565.659,9345.806,10080.114,10768.344,31.39,32.54,34.09,36.04,38.05,40,40.89,41.48,42.22,44.73,49.98,55.59,60.19,61.81,63.29,64.61,65.79,66.85,67.79,68.64,30,31.1,32.6,34.5,36.5,38.4,39,39.5,40,42.5,47.5,53,57.41,58.97,60.4,61.65,62.78,63.78,64.64,65.42,32.8,34,35.6,37.6,39.6,41.6,42.8,43.5,44.5,47,52.5,58.2,63,64.68,66.21,67.61,68.85,69.97,70.99,71.93,219.42,210.646,199.295,185.772,172.656,160.6,155.408,151.96,147.8,134.037,108.252,83.783,65.446,59.336,53.941,49.249,45.171,41.599,38.553,35.862,364.696,351.059,333.308,311.784,290.628,270.876,262.199,256.43,249.424,226.238,179.112,133.87,101.122,90.359,80.806,72.569,65.347,59.077,53.849,49.268,34.944,33.374,31.063,28.531,26.6,24.927,23.925,23.256,22.279,19.802,15.724,12.031,9.299,8.382,7.658,7.107,6.674,6.335,6.08,5.902,844.267,897.689,919.963,925.807,961.51,1035.227,1168.692,1324.478,1472.656,1520.267,1414.906,1291.01,1190.919,1271.699,1364.253,1477.149,1608.078,1756.668,1924.96,2116.446,435.417,462.643,474.646,478.22,497.019,536.507,611.909,695.274,779.52,804.905,759.698,701.363,660.541,710.548,767.639,836.896,915.459,1003.508,1103.443,1215.947,408.85,435.046,445.317,447.587,464.491,498.72,556.783,629.204,693.136,715.362,655.208,589.647,530.378,561.151,596.614,640.253,692.619,753.16,821.517,900.499,0,-2.788,-4.558,-6.97,-2.24,0.276,4.793,-2.669,2.16,-1.654,1.918,0.795,0.682,0,0,-0.024,-0.021,-0.018,-0.016,-0.014,0,-75,-135,-226.155,-80.955,11.455,234.148,-151.982,142.811,-126.955,172.594,85.286,87.322,0,0,-5,-5,-5,-5,-5,2.354,1.961,1.893,1.767,2.51,3.009,3.446,2.748,3.18,2.834,3.467,3.566,3.515,3.282,3.152,3.028,2.891,2.739,2.578,2.414,23.512,22.384,23.471,24.63,27.306,29.76,29.582,30.103,29.572,29.943,32.662,34.773,34.378,32.746,31.456,30.242,28.877,27.37,25.757,24.126,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,28.21,28.21,28.21,28.21,28.21,28.21,28.21,28.21,28.345,28.47,28.628,28.696,28.737,28.792,28.85,28.908,28.969,29.032,29.097,29.162,HighUrbanization
Antigua and Barbuda,4.5,4.5,4.3,4,3.262,2.236,2.139,2.071,2.094,2.313,2.271,2.169,2.096,2.034,1.985,1.943,1.904,1.875,1.852,1.836,1.914,1.965,1.919,1.818,1.504,1.045,1.01,0.984,1,1.109,1.094,1.048,1.015,0.987,0.964,0.945,0.927,0.913,0.903,0.896,36.503,35.036,33.358,32.527,28.076,20.905,20.804,19.916,19.124,20.807,19.973,18.016,16.779,16.035,15.299,14.392,13.433,12.648,12.103,11.763,9.053,9.481,9.684,10.399,9.736,7.581,7.449,6.795,6.708,8.177,8.63,8.283,8.162,8.219,8.231,8.085,7.827,7.587,7.42,7.321,58.53,60.94,63.19,65.02,66.72,68.18,69.53,70.8,71.88,73,74.06,74.99,75.81,76.6,77.36,78.13,78.89,79.66,80.45,81.23,56.02,58.44,60.48,62.25,63.87,65.36,66.75,68.04,69.26,70.41,71.51,72.56,73.29,74.08,74.87,75.71,76.56,77.43,78.33,79.25,60.75,63.07,65.21,67.19,68.94,70.51,71.92,73.19,74.36,75.44,76.43,77.36,78.21,78.95,79.67,80.35,81.03,81.7,82.34,82.97,92.982,75.571,61.514,50.171,40.94,33.418,27.3,22.308,18.24,14.917,12.21,10.014,9.106,7.753,6.696,6.036,5.432,4.862,4.348,3.89,115.096,93.244,75.851,61.737,50.349,41.091,33.578,27.477,22.504,18.452,15.089,12.422,11.346,9.691,8.379,7.547,6.775,6.062,5.414,4.835,10.637,9.542,8.739,7.695,6.771,6.215,6.362,6.592,6.859,6.682,6.205,6.062,5.84,5.802,5.933,6.245,6.745,7.485,8.376,9.266,2.638,2.582,2.537,2.46,2.348,2.254,2.278,2.249,2.406,2.626,2.681,2.787,2.841,2.974,3.192,3.508,3.93,4.49,5.135,5.767,1.361,1.281,1.211,1.177,1.127,1.09,1.114,1.126,1.228,1.344,1.389,1.446,1.466,1.526,1.634,1.792,2.003,2.273,2.56,2.802,1.277,1.301,1.326,1.283,1.221,1.164,1.164,1.123,1.178,1.282,1.292,1.341,1.375,1.448,1.558,1.716,1.927,2.217,2.575,2.965,0.754,-16.493,-5.866,-5.083,-8.288,-9.629,-24.689,-22.361,7.461,11.25,-0.653,-0.2,-0.115,-0.109,-0.104,-0.1,-0.096,-0.093,-0.091,-0.09,0.187,-4.463,-1.703,-1.625,-2.874,-3.492,-8.84,-7.629,2.617,4.421,-0.282,-0.092,-0.056,-0.056,-0.056,-0.056,-0.056,-0.056,-0.056,-0.056,2.666,0.9,1.877,1.977,1.302,0.506,-1.025,-0.904,1.974,2.541,1.312,1.176,1.083,1.013,0.926,0.805,0.659,0.507,0.364,0.241,25.866,25.494,24.619,24.832,21.305,14.69,14.442,13.324,12.265,14.125,13.768,11.954,10.939,10.233,9.366,8.147,6.688,5.163,3.727,2.497,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,26.843,26.843,26.843,26.843,26.843,25.774,25.383,26.142,26.901,27.154,27.266,27.38,27.493,27.632,27.831,28.073,28.313,28.538,28.748,28.945,LowUrbanization
Argentina,3.154,3.127,3.09,3.049,3.146,3.44,3.15,3.053,2.9,2.63,2.515,2.4,2.345,2.268,2.196,2.129,2.068,2.014,1.968,1.932,1.368,1.38,1.376,1.367,1.432,1.588,1.471,1.434,1.37,1.248,1.202,1.149,1.124,1.089,1.056,1.026,0.998,0.973,0.952,0.936,25.364,24.265,23.179,22.544,23.39,25.653,23.129,22.211,21.314,19.742,19.206,18.456,17.82,16.866,15.947,15.148,14.438,13.805,13.228,12.696,2287.819,2399.129,2486.041,2606.971,2926.079,3474.251,3382.365,3504.839,3608.661,3556.068,3658.866,3708.166,3770.839,3749.599,3707.321,3665.887,3622.119,3575.984,3524.534,3466.651,62.54,64.55,65.27,65.8,67.24,68.67,70.17,71.02,72.15,73.28,74.34,75.18,76.01,76.82,77.64,78.46,79.28,80.09,80.92,81.74,60.42,62.14,62.47,62.75,64.1,65.44,66.82,67.58,68.6,69.65,70.6,71.34,72.15,73.06,74.01,74.97,75.95,76.95,77.98,79.02,65.14,67.44,68.62,69.33,70.78,72.22,73.74,74.62,75.8,76.95,78.1,79.01,79.83,80.5,81.17,81.83,82.47,83.09,83.71,84.31,65.896,60.354,59.739,57.387,48.103,39.068,32.191,27.128,24.353,21.847,15.039,14.606,13.689,11.871,10.26,8.836,7.868,7.112,6.442,5.877,83.619,75.609,72.875,69.159,57.561,46.215,37.42,31.936,28.167,24.506,17.538,17.061,15.981,13.891,12.054,10.468,9.354,8.47,7.681,7.007,9.078,8.591,8.799,9.056,8.97,8.9,8.476,8.39,8.113,7.847,7.773,7.688,7.594,7.561,7.557,7.594,7.691,7.837,8.008,8.198,818.803,849.406,943.728,1047.299,1122.166,1205.336,1239.472,1323.882,1373.582,1413.433,1480.828,1544.77,1606.961,1680.965,1756.929,1837.779,1929.62,2030.143,2133.625,2238.294,471.463,494.596,558.382,617.848,655.07,693.614,703.347,738.952,757.294,771.074,801.558,832.377,856.057,885.443,918.837,956.096,997.449,1040.008,1081.703,1124.514,347.34,354.81,385.346,429.451,467.096,511.722,536.125,584.93,616.288,642.359,679.27,712.393,750.904,795.522,838.092,881.683,932.171,990.135,1051.922,1113.78,3.437,1.416,1.137,1.124,2.318,-1.698,0.957,1.014,0.177,-0.444,-0.472,-0.423,0.142,0.108,0.082,0.064,0.048,0.046,0.045,0.044,309.999,140.002,122.001,130.001,290,-230.001,139.999,160.002,29.999,-80,-90,-84.998,30,24.002,19.002,15.4,12,11.999,11.999,11.998,1.974,1.71,1.552,1.462,1.675,1.506,1.562,1.484,1.338,1.145,1.096,1.035,1.037,0.941,0.847,0.762,0.679,0.601,0.527,0.454,16.286,15.674,14.38,13.488,14.42,16.753,14.653,13.821,13.201,11.895,11.433,10.768,10.226,9.305,8.39,7.554,6.747,5.968,5.22,4.498,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,28.268,28.269,28.269,28.261,28.019,27.668,27.787,27.802,27.681,27.826,27.905,27.87,28.097,28.216,28.37,28.552,28.749,28.949,29.144,29.329,MediumUrbanization
