Location,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,cluster
Denmark,71.06,72.07,72.4,72.93,73.63,74.24,74.44,74.75,75.23,76.14,77.34,78.58,80.14,1
Djibouti,41.04,42.95,45.18,47.35,50.9,52.55,54.67,56.11,57.02,57.02,57.29,59.05,61.62,3
Dominican Republic,45.95,49.9,53.58,56.92,59.84,62.01,63.99,66.5,69.01,70.04,71.09,72.19,73.19,5
Ecuador,48.65,51.59,54.75,56.78,58.89,61.67,64.56,67.63,70.17,72.1,73.62,74.57,75.54,2
Egypt,41.14,46.35,49.3,51.58,52.96,56.76,59.9,63.54,65.45,67.98,69,69.88,70.84,5
El Salvador,44.26,48.12,51.58,53.93,55.75,56.21,57.15,61.55,66.07,68.02,69.57,71.13,72.63,5
Equatorial Guinea,34.48,35.99,37.49,38.99,40.5,42.03,45.53,47.21,49.36,51.76,53.59,54.94,56.85,4
Eritrea,34.08,36.67,40.08,42.15,44.12,45.91,47.33,48.69,50.77,53.96,56.68,60.7,63.41,4
Estonia,61.79,66.94,69.38,70.31,70.25,69.42,69.31,70.33,68.48,69.44,71.59,73.78,76.76,1
Ethiopia,34.08,36.67,40.08,42.14,43.52,44.26,43.52,46.15,48.07,50.7,53.61,59.08,63.69,4
Fiji,52.21,54.73,56.91,58.93,60.71,62.23,63.68,64.93,66.05,67.07,68,68.8,69.72,2
Finland,66.4,68.19,69.07,69.72,70.94,72.72,74.33,74.79,75.84,77.14,78.4,79.54,80.69,1
France,67.06,69.2,70.66,71.33,72.32,73.5,74.62,75.94,77.2,78.28,79.43,80.82,81.89,1
French Guiana,53.32,56.14,59.53,64.37,65.72,66.53,69.2,71.06,72.75,74.24,76.09,77.97,79.17,2
French Polynesia,48.94,54.85,57.11,59.28,61.04,62.83,66.28,67.97,69.46,71.44,73.17,75.01,76.14,2
Gabon,37,39,40.5,44.64,48.78,52.91,57.03,60.7,61.01,60.03,59.07,61.33,64.46,3
Gambia,30.25,31.53,32.81,35.8,40.04,44.21,48.2,51.34,52.84,54.91,56.92,58.83,60.31,4
Georgia,60.65,62.65,64.65,66.66,68.16,69.64,69.65,70.46,70.11,71.08,72.6,72.65,72.75,2
Germany,67.52,68.91,69.97,70.67,71.15,72.3,73.65,74.99,75.98,77.31,78.62,79.73,80.45,1
Ghana,42.17,44.66,46.9,48.62,50.03,51.6,53.05,55.3,57.75,56.98,57.49,60.02,61.68,3
Greece,65.75,67.17,69.25,70.13,71.83,72.85,74.52,75.66,77.38,78.07,79.12,80.01,80.62,1
Grenada,56.34,58.91,61.12,63,64.6,65.95,67.11,68.16,69.01,69.83,70.89,72,73.17,2
Guadeloupe,53.34,57.19,60.52,63.64,66.22,68.63,70.8,72.77,74.6,76.3,77.88,79.32,80.54,2
Guam,57.13,59.67,62.24,64.57,66.66,68.45,70,71.34,72.54,74.09,75.92,77.36,78.84,2
Guatemala,42.92,45.46,48.01,50.93,53.97,56.19,58.4,60.98,63.59,66.55,68.94,70.5,72.44,5
Guinea,33.08,34.33,35.38,36.14,37.43,39.87,43.05,47.92,51.28,51.61,51.31,55.45,57.93,4
Guinea-Bissau,35.88,37.19,38.63,40.6,42.48,44.48,46.6,48.18,49.98,51.81,52.68,54.18,56,4
Guyana,58.83,59.8,60.69,61.55,61.96,62.31,62.68,62.98,63.69,64.56,65.25,65.79,66.26,2
Haiti,37.48,40.62,43.53,46.22,48.1,50.07,51.65,53.73,55.43,57.13,58.34,60.23,62.29,3
High-income countries,65.29,67.32,68.7,69.76,71.03,72.46,73.77,74.91,75.94,77.1,78.32,79.47,80.41,1
Honduras,41.79,44.59,48,51.05,54.09,57.71,61.59,65.45,67.73,69.88,71.01,72.01,72.88,5
Hungary,64.01,66.91,68.79,69.45,69.41,69.59,69.08,69.42,69.41,70.88,72.53,73.74,75.39,1
Iceland,72.24,73.22,73.5,73.65,74.2,76.33,76.85,77.61,78.53,79.09,80.69,81.39,82.19,1
India,36.62,39.66,42.73,46.02,49.39,52.55,54.93,56.73,59.18,61.57,63.54,65.57,67.58,3
Indonesia,43.49,47,50.2,53.09,55.93,58.45,60.66,62.38,64.16,65.78,66.69,67.68,68.59,5
Iran (Islamic Republic of),40.59,43.5,46.38,49.18,52.67,56.71,52.1,60,66.86,69.04,71.13,72.73,75.06,5
Iraq,37.94,44.91,50.88,56.35,59.51,61.72,58.99,64.33,67.39,69.07,68.88,68.01,69.19,5
Ireland,66.88,69.14,70.12,70.75,71.23,72,73.18,74.22,75.35,76.03,77.83,79.68,80.85,1
Israel,68.87,70.04,70.97,71.77,72.57,73.52,74.63,75.94,77.2,78.31,79.56,80.94,81.91,1
Italy,66.52,68.44,69.69,70.94,72.22,73.55,74.87,76.38,77.47,78.8,80.28,81.5,82.34,1
